Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artists_Song
Gates of Ekrund,Wind Rose,Warfront,5Jf1NavkE0nEpzo2rnjMrL,7hx4Fr1vbGmKd0IYOmBIqr,,2022-06-10,353164,,0.361,0.987,5,-5.359,0,0.142,0.000131,0.0234,0.0841,0.219,179.951,Wind Rose Gates of Ekrund
The Breed of Durin,Wind Rose,Wardens of the West Wind (Mastering 2022),2WyzfEVvthTvdWOOj3dBOm,6ntVlLXMXvbX1QINLnNMNv,,2022-11-04,370253,,0.434,0.853,11,-7.238,1,0.0426,0.000195,0.00109,0.0675,0.36,180.047,Wind Rose The Breed of Durin
Awakening,Wind Rose,Shadows Over Lothadruin (Mastering 2022),4mZ5mhPvQfrY6vLfhoxAym,75Gnt0LsOhifqhoPmowHSe,,2022-11-04,158733,,0.238,0.406,4,-14.644,0,0.0344,0.0217,0.873,0.448,0.0521,123.183,Wind Rose Awakening
The King Under the Mountain,Wind Rose,Wintersaga,41qphLDtonmyZmvO5gnoui,4K9Tp3c635iPtzgJDfjNc1,,2019-09-27,334925,,0.446,0.949,1,-5.039,0,0.0567,1.1e-05,0.709,0.116,0.312,94.99,Wind Rose The King Under the Mountain
Tales of War,Wind Rose,Warfront,5Jf1NavkE0nEpzo2rnjMrL,3n14qqc4XY4ncMPDQbfpto,,2022-06-10,284908,,0.4,0.988,11,-5.181,0,0.0684,7.46e-06,0.697,0.0974,0.503,75.01,Wind Rose Tales of War
The Animist,Wind Rose,Stonehymn,5PCLUEccjjF6AgoBNhrq2O,2fJCZPvpzjnzxsd74jC3ku,,2017-05-26,85320,,0.517,0.756,0,-12.114,1,0.0356,0.0726,0.728,0.202,0.502,129.919,Wind Rose The Animist
Heavenly Minds,Wind Rose,Wardens of the West Wind (Mastering 2022),2WyzfEVvthTvdWOOj3dBOm,3nVi1Eo6IT1i70mb3WYJyJ,,2022-11-04,314293,,0.441,0.904,2,-7.818,1,0.0505,6.62e-05,0.039,0.131,0.359,155.042,Wind Rose Heavenly Minds
The Art of War,Wind Rose,Wintersaga,41qphLDtonmyZmvO5gnoui,4Yp2OFqM6iHTErzCUiQFdZ,,2019-09-27,349733,,0.522,0.942,0,-4.883,1,0.0368,1.28e-05,0.914,0.0543,0.487,119.978,Wind Rose The Art of War
One Last Day,Wind Rose,Warfront,5Jf1NavkE0nEpzo2rnjMrL,4ONU89vcoea41MavhYnbhZ,,2022-06-10,389153,,0.367,0.982,0,-5.335,1,0.114,9.37e-05,0.242,0.614,0.151,195.075,Wind Rose One Last Day
The Wolves' Call,Wind Rose,Stonehymn,5PCLUEccjjF6AgoBNhrq2O,60pOi8s2HyzdKVY4t0bZ1p,,2017-05-26,306240,,0.439,0.971,2,-4.319,0,0.0931,0.0247,2.05e-05,0.158,0.343,85.033,Wind Rose The Wolves' Call
The Endless Prophecy,Wind Rose,Shadows Over Lothadruin (Mastering 2022),4mZ5mhPvQfrY6vLfhoxAym,0yh38xfw3K2PYJEu9AnbSJ,,2022-11-04,293613,,0.524,0.914,4,-7.771,1,0.0548,0.000226,8.1e-05,0.105,0.411,125.932,Wind Rose The Endless Prophecy
The Age of Conquest,Wind Rose,Wardens of the West Wind (Mastering 2022),2WyzfEVvthTvdWOOj3dBOm,2xPe3ZhLCVtzwGDUfYX0lW,,2022-11-04,386240,,0.367,0.878,5,-7.629,0,0.0463,7.73e-05,0.0419,0.201,0.375,174.981,Wind Rose The Age of Conquest
The Returning Race - Single Version,Wind Rose,The Returning Race,4YmMPX2V0dGUFXXSSqJev5,5CAf21gGmO1v2o0c6kHWIG,,2017-10-16,394375,,0.303,0.943,11,-5.746,0,0.103,0.113,4.07e-06,0.11,0.447,99.988,Wind Rose The Returning Race - Single Version
Fallen Timbers,Wind Rose,Stonehymn,5PCLUEccjjF6AgoBNhrq2O,6Zoe9nLM6TGE3pFLivceCV,,2017-05-26,385160,,0.379,0.964,0,-5.272,1,0.205,0.0343,0.000658,0.449,0.337,179.994,Wind Rose Fallen Timbers
The Fourth Vanguard,Wind Rose,Shadows Over Lothadruin (Mastering 2022),4mZ5mhPvQfrY6vLfhoxAym,5YsTy5gtgZOJNytJUp2JVj,,2022-11-04,395573,,0.426,0.808,0,-7.409,1,0.0492,9.54e-05,0.00172,0.11,0.26,82.427,Wind Rose The Fourth Vanguard
Spartacus,Wind Rose,Wardens of the West Wind (Mastering 2022),2WyzfEVvthTvdWOOj3dBOm,0gQpO9HlAKdGgZiYcBkjWx,,2022-11-04,402493,,0.419,0.888,5,-7.642,0,0.0563,0.000131,0.00245,0.229,0.205,150.009,Wind Rose Spartacus
Son of a Thousand Nights,Wind Rose,Son of a Thousand Nights,65pJa6NQa7HLnjNJayElOh,4CVpmQlzQLDjfPiIUmMD8d,,2022-09-21,292413,,0.462,0.673,11,-7.63,0,0.0352,0.0565,3.31e-06,0.104,0.15,118.046,Wind Rose Son of a Thousand Nights
Dance of Fire,Wind Rose,Stonehymn,5PCLUEccjjF6AgoBNhrq2O,0uxNXSBHijVoLaAJsa9kXs,,2017-05-26,407173,,0.391,0.97,10,-5.209,0,0.182,0.0367,0.00193,0.233,0.202,159.969,Wind Rose Dance of Fire
Majesty,Wind Rose,Shadows Over Lothadruin (Mastering 2022),4mZ5mhPvQfrY6vLfhoxAym,57poio2ayH9VvX9e6oyJ5s,,2022-11-04,578947,,0.304,0.775,7,-8.394,1,0.0395,0.000931,0.0143,0.156,0.298,131.978,Wind Rose Majesty
Led By Light,Wind Rose,Shadows Over Lothadruin (Mastering 2022),4mZ5mhPvQfrY6vLfhoxAym,1SygvIXNXeCG4VeSyGhcD9,,2022-11-04,427600,,0.229,0.887,2,-7.083,1,0.0577,0.00156,0.00138,0.148,0.328,140.958,Wind Rose Led By Light
Winter Wonderland - Spotify Singles Holiday,Laufey,Spotify Singles Holiday,1Ph9nV8cNv7Gq7yHOlmbgh,1LmkdWSxjCV7wKTPsCvYWN,,2023-11-14,132800,,0.528,0.281,2,-9.784,1,0.037,0.839,0.0,0.0873,0.514,127.617,Laufey Winter Wonderland - Spotify Singles Holiday
